ACE,Top playing card
ACT,Deed or performance
ADD,Combine numbers
AFT,Toward the rear of a ship
AGE,Length of time lived
AGO,In the past
AID,Help or assistance
AIL,Feel pain
AIM,Point toward a target
AIR,What we breathe
ALE,Type of beer
ALL,Entire amount
ALP,Mountain peak
AMP,Unit of electrical current
AND,Connecting word
ANT,Small hardworking insect
ANY,At least one
APE,Large primate
APP,Software application
APT,Appropriate
ARC,Curved line
ARE,Plural of is
ARK,Biblical boat
ARM,Limb attached to the shoulder
ART,Creative expression
ASH,Remains after fire
ASK,Request information
ASP,Venomous snake
ATE,Past tense of eat
AWE,Feeling of wonder
AXE,Chopping tool
BAD,Not good
BAG,Carry-all container
BAN,Prohibit
BAR,Counter serving drinks
BAT,Flying mammal
BAY,Coastal inlet
BED,Place to sleep
BEE,Honey-making insect
BEG,Ask earnestly
BET,Wager
BIB,Baby's protective cloth
BID,Offer a price
BIG,Large in size
BIN,Storage container
BIT,Small piece
BOA,Large constricting snake
BOB,Short haircut
BOG,Swampy ground
BOO,Sound of disapproval
BOP,Dance or light punch
BOW,Front of a ship or tied ribbon
BOX,Rectangular container
BOY,Male child
BRA,Undergarment
BRO,Informal word for brother
BUD,Early flower stage
BUG,Small insect
BUN,Small round bread
BUS,Public transport vehicle
BUT,However
BUY,Purchase
BYE,Goodbye
CAB,Taxi
CAD,Dishonorable man
CAN,Tin container
CAP,Hat with a brim
CAR,Automobile
CAT,Feline pet
COB,Central part of corn ear
COD,Common food fish
COG,Gear tooth
CON,Against
COO,Soft pigeon sound
COP,Police officer
COT,Small portable bed
COW,Dairy animal
COY,Pretending shyness
CRY,Shed tears
CUB,Young bear
CUE,Signal to begin
CUP,Drinking vessel
CUT,Slice with a blade
DAB,Light touch
DAD,Father
DAM,River barrier
DAY,Twenty-four hour period
DEN,Animal lair
DEW,Morning moisture
DID,Past tense of do
DIE,Cube used in games
DIG,Excavate
DIM,Not bright
DIN,Loud unpleasant noise
DIP,Brief plunge
DOE,Female deer
DOG,Man's best friend
DON,Put on clothing
DOT,Small round mark
DRY,Not wet
DUB,Give a nickname
DUE,Owed
DUG,Past tense of dig
DUO,A pair
DYE,Coloring substance
EAR,Organ of hearing
EAT,Consume food
EBB,Recede
EEL,Snake-like fish
EGG,Oval food laid by birds
EGO,Self-esteem
ELF,Mythical being
ELK,Large deer
ELM,Type of tree
EMU,Large flightless bird
END,Finish
EON,Very long time
ERA,Period of time
EVE,Night before
EWE,Female sheep
EYE,Organ of sight
FAD,Intense but brief craze
FAN,Device that creates airflow
FAR,Distant
FAT,Oily substance
FAX,Send document electronically
FED,Fed past of feed
FEE,Charge for service
FEW,Not many
FIB,Small lie
FIG,Sweet fruit
FIN,Fish appendage
FIR,Evergreen tree
FIT,In good shape
FIX,Repair
FLU,Influenza
FLY,Winged insect
FOE,Enemy
FOG,Thick mist
FOR,In favor of
FOX,Clever mammal
FRY,Cook in oil
FUN,Enjoyment
FUR,Animal coat
GAB,Talk excessively
GAG,Joke or choke
GAL,Informal for girl
GAP,Empty space
GAS,Fuel or vapor
GEL,Thick substance
GEM,Precious stone
GET,Obtain
GIG,Live performance
GNU,African antelope
GOD,Deity
GOO,Sticky substance
GOT,Past tense of get
GUM,Chewy substance
GUN,Firearm
GUT,Stomach
GUY,Informal for man
GYM,Exercise facility
HAD,Past tense of have
HAM,Cured pork
HAS,Third person of have
HAT,Head covering
HAY,Dried grass
HEM,Fabric edge
HEN,Female chicken
HER,Female pronoun
HEW,Cut with axe
HEX,Witch spell
HEY,Informal greeting
HID,Past tense of hide
HIM,Masculine pronoun
HIP,Body joint at waist
HIS,Belonging to him
HIT,Strike
HOE,Garden tool
HOG,Pig
HOP,Jump on one foot
HOT,High temperature
HOW,In what way
HUB,Center of a wheel
HUE,Shade of color
HUG,Warm embrace
HUM,Produce a low sound
HUT,Small shelter
ICE,Frozen water
ICY,Very cold
ILL,Sick
IMP,Small mischievous creature
INK,Writing fluid
INN,Small hotel
ION,Charged particle
IRE,Anger
IRK,Annoy
ITS,Belonging to it
IVY,Climbing plant
JAB,Sharp poke
JAM,Fruit preserve
JAR,Glass container
JAW,Lower part of the face
JAY,Blue bird
JET,High-speed aircraft
JIG,Lively dance
JOB,Occupation
JOG,Light run
JOT,Write briefly
JOY,Delight
JUG,Pitcher
KEG,Small barrel
KEN,Range of knowledge
KEY,Opens a lock
KID,Young goat or child
KIN,Family
KIT,Set of tools
KOI,Ornamental carp
LAB,Place for experiments
LAD,Young boy
LAG,Behind schedule
LAP,Upper legs when seated
LAW,Legal rule
LAY,Put down
LEA,Meadow
LED,Past tense of lead
LEG,Limb for walking
LEI,Hawaiian garland
LET,Allow
LID,Cover for a container
LIE,Untruth
LIP,Edge of the mouth
LIT,Illuminated
LOB,Toss gently
LOG,Piece of wood
LOP,Cut off
LOT,Large quantity
LOW,Not high
MAD,Angry
MAN,Adult male
MAP,Navigation tool
MAR,Damage
MAT,Floor covering
MAX,Greatest amount
MAY,Express possibility
MEN,Plural of man
MET,Encountered
MID,Middle
MIX,Blend together
MOB,Unruly crowd
MOD,Modern style
MOM,Mother
MOO,Cow sound
MOP,Floor-cleaning tool
MOW,Cut grass
MUD,Wet earth
MUG,Large cup
NAB,Catch a criminal
NAG,Annoy persistently
NAP,Short sleep
NAY,Negative vote
NEE,Born as maiden name
NET,Mesh used in sports
NEW,Not old
NIL,Nothing
NIP,Small bite
NOD,Head gesture of agreement
NOR,Neither
NOT,Negative word
NOW,At this moment
NUN,Female religious member
NUT,Hard-shelled seed
OAK,Common hardwood tree
OAR,Rowing paddle
OAT,Cereal grain
ODD,Not even
ODE,Lyric poem
OFF,Away from
OHM,Unit of electrical resistance
OIL,Petroleum product
OLD,Aged
ONE,Single unit
OPT,Choose
ORB,Spherical object
ORE,Metal-bearing rock
OUR,Belonging to us
OUT,Not in
OWE,Be indebted
OWL,Nocturnal bird
OWN,Possess
PAD,Cushioned surface
PAL,Friend
PAN,Cooking vessel
PAR,Equal standard
PAT,Light tap
PAW,Animal foot
PAY,Give money
PEA,Small green vegetable
PEG,Pin or hook
PEN,Writing instrument
PEP,Energy and enthusiasm
PER,For each
PET,Domestic animal
PEW,Church bench
PIE,Baked pastry dish
PIG,Farm animal
PIN,Small pointed fastener
PIT,Hole in the ground
PLY,Layer of material
POD,Seed container
POP,Burst or fizzy drink
POT,Cooking container
PRO,Professional
PRY,Inquire nosily
PUB,Public house
PUG,Small dog breed
PUN,Play on words
PUP,Young dog
PUT,Place
RAG,Torn cloth
RAM,Male sheep
RAN,Past tense of run
RAP,Knock or music genre
RAT,Rodent
RAW,Uncooked
RAY,Beam of light
RED,Primary color
REF,Game official
REV,Engine revolution
RIB,Chest bone
RID,Free from
RIG,Equipment setup
RIM,Outer edge
RIP,Tear
ROB,Steal from
ROD,Thin straight stick
ROE,Fish eggs
ROT,Decay
ROW,Line of items
RUB,Apply friction
RUE,Regret
RUG,Floor mat
RUM,Alcoholic drink
RUN,Move quickly on foot
RYE,Grain used in bread
SAD,Unhappy
SAG,Droop
SAP,Tree fluid
SAT,Past tense of sit
SAW,Cutting tool
SAY,Speak
SEA,Large body of salt water
SEC,Short second
SEE,Observe
SET,Place in position
SEW,Join with thread
SHE,Female pronoun
SHY,Timid
SIN,Moral wrongdoing
SIP,Drink slowly
SIR,Formal address for man
SIS,Sister
SIT,Be seated
SIX,Number after five
SKI,Snow glide
SKY,Above the clouds
SLY,Cunning
SOB,Cry
SOD,Grass-covered soil
SOL,Musical note
SON,Male offspring
SOS,Distress signal
SOW,Female pig
SOY,Bean used in many foods
SPA,Wellness retreat
SPY,Secret agent
STY,Pig enclosure
SUB,Submarine
SUE,File a lawsuit
SUM,Total
SUN,Star of our solar system
TAB,Small flap or label
TAG,Label
TAN,Brown skin tone
TAP,Light knock or faucet
TAR,Black sticky substance
TAX,Government levy
TEA,Hot beverage from leaves
TED,Dry cut grass
TEE,Golf support peg
TEN,Number after nine
THE,Definite article
TIC,Involuntary twitch
TIE,Draw in a game
TIN,Metal element
TIP,Point or gratuity
TOE,Foot digit
TOM,Male cat
TON,Unit of weight
TOO,Also
TOP,Highest point
TOT,Small child
TOW,Pull behind
TOY,Child's plaything
TRY,Attempt
TUB,Large container for bathing
TUG,Pull hard
TWO,Number after one
URN,Vase for ashes
USE,Employ
VAN,Large vehicle
VAT,Large tank
VEX,Annoy
VET,Animal doctor
VIA,By way of
VIE,Compete
VIM,Vigor and energy
VOW,Solemn promise
WAD,Small bundle
WAG,Move back and forth
WAR,Armed conflict
WAS,Past tense of be
WAX,Polish or candle material
WAY,Route
WEB,Spider's creation
WED,Get married
WET,Not dry
WHO,Interrogative pronoun
WHY,For what reason
WIG,Fake hair
WIN,Come first
WIT,Clever humor
WOE,Distress
WOK,Chinese cooking pan
WON,Past tense of win
WOO,Court romantically
WOW,Expression of amazement
YAK,Himalayan ox
YAM,Sweet potato
YAP,Bark shrilly
YAW,Turn of aircraft
YEA,Affirmative vote
YEN,Strong desire
YES,Affirmative
YET,Still or however
YEW,Evergreen tree
YIP,Short bark
YOU,Second-person pronoun
ZAP,Strike suddenly
ZEN,Japanese Buddhist school
ZIP,Close quickly
ZIT,Pimple
ZOO,Animal park

DAN,Aykroyd of Ghostbusters
DUA,Houdini singer
SZA,Kill Bill artist
KEN,Barbie movie role
REY,Star Wars hero
UMA,Actress Thurman
SIA,Chandelier singer
NEO,The Matrix hero
ICE,Rapper Spice ___
MEG,Thee Stallion
GAL,Actress Gadot
POE,Pilot Dameron
JOY,Inside Out emotion
RED,Swift album
TEA,Slang for gossip
ERA,Swift tour part
ONO,Artist Yoko
AXL,Singer Rose
TOP,___ Gun: Maverick
ZOD,Superman villain
ZOE,Actress Kravitz
AMY,Parks and Rec star
ELI,Director Roth
FIT,Slang for outfit
CAP,Slang for a lie
EGO,Marvel living planet
SKY,Bond film ___fall
EVA,Actress Longoria
ASH,Evil Dead hero
ELM,Nightmare street
HAN,Millennium Falcon pilot
RUE,Euphoria lead role
KIM,A Kardashian sister
MIA,Horror icon Goth
ELF,Christmas movie classic
BIG,Hanks piano movie
SAW,Horror franchise
IVY,Blue ___ Carter
NAS,Illmatic rapper
GAD,Josh of Frozen
FEY,Mean Girls writer Tina
RZA,Wu-Tang Clan member
GZA,Wu-Tang Clan member
HAL,Sentient 2001 AI
EVE,Wall-E's robot love
RIO,Animated macaw movie
TOY,___ Story
BOO,Monsters Inc toddler
NED,Peter Parker's bestie
JIN,The Astronaut singer
IVE,K-pop group Baddie
LEX,Superman's arch-rival
SID,The sloth in Ice Age
JOE,The protagonist of You
GUS,Breaking Bad villain
ALI,Beef actress Wong
LOU,The Bear chef
GUY,Free ___ movie
YES,The Bear kitchen reply
BEN,Actor Affleck
DON,Draper of Mad Men
TED,Lasso of Apple TV
SAM,Frodo's hobbit friend
BOB,Reggae legend Marley
PAT,Longtime host Sajak
TOM,Hanks or Cruise
MEL,Comedy legend Brooks
MAE,Screen legend West
RON,Weasley of Hogwarts
LEO,DiCaprio of Titanic
LIZ,Taylor of Cleopatra
ROD,Singer Stewart
JON,Snow of Winterfell
JIM,Carrey or Halpert
PAM,Jenna Fischer role
STU,Hangover dentist
NAT,King Cole
BEA,Arthur of Golden Girls
REX,Toy Story dino
ROY,Orbison or Kent
RAY,Charles or Romano
AVA,Gardner of Hollywood
ABE,Vigoda or Lincoln
MAC,Fleetwood ___
RAT,The ___ Pack
AIR,Jordan brand movie
BEE,The ___ Gees
MAD,___ Max movies
JET,West Side Story gang
LOU,Costello of comedy
BUD,Abbott of comedy
DES,Arnaz of I Love Lucy
MIA,Farrow of film
SID,Comedy legend Caesar
DON,Knotts of Mayberry
SAL,Mineo of Rebel
ART,Carney of Honeymooners
FLO,Diner waitress of TV
ALF,Alien Life Form star
MEL,Vocalist Torme
PAT,Singer Boone
JUD,Oklahoma! villain
VAL,Actor Kilmer
MEG,Actress Ryan
EVA,Gabor of Green Acres
ZSA,First Gabor sister
TAB,Hunter of the 50s
REX,Harrison of My Fair Lady
RAE,Actress Issa
JED,Clampett of TV
VEE,Singer Bobby
CAB,Calloway of jazz
OTT,Mel of the Giants
ORR,Bobby of the Bruins
JAY,Leno of late night
VIC,Damone of song
LON,Chaney of horror
FAY,Wray of King Kong
ECE,Our discipline
KAY,Kyser of big bands
LEE,Actor Marvin
DEE,Sandra of Gidget
ANN,Margret of film
NED,Flanders of Simpsons
TEX,Avery of animation
ELY,Tarzan actor Ron
JOY,Behar of The View
MAX,Smart of Get Smart
WES,Craven of horror
ACT,Movie segment
ADO,Much ___ About Nothing
AGE,The Golden ___
AGO,Years in the past
AIR,The ___ Up There
ALF,TV's alien visitor
ALI,The Greatest boxer
ALL,___ About Eve
AMY,Poehler or Winehouse
AND,___ Justice for All
ANI,Singer DiFranco
ANN,Margret or Taylor
ANT,Marvel's tiny hero
APE,King Kong e.g.
ARC,Story structure
ARE,___ You the One?
ARK,Noah's boat
ARM,Leg's partner
ART,Garfunkel or Carney
ASH,Evil Dead hero
ASP,Cleopatra's snake
ASS,Stubborn animal
ATE,Finished dinner
AVA,Gardner or DuVernay
AWE,Sense of wonder
AXE,Body spray brand
AXL,Singer Rose
BAD,Michael Jackson hit
BAG,Paper or plastic
BAH,Scrooge's snort
BAN,Prohibit
BAR,Cheers setting
BAT,Batman's symbol
BAY,San Francisco site
BEA,Arthur of Golden Girls
BED,___ of Roses
BEE,The ___ Gees
BEN,Affleck or Stiller
BET,Wager
BIB,Lobster eater's gear
BIG,Tom Hanks movie
BIN,Storage spot
BIT,Small amount
BOA,Feather accessory
BOB,Marley or Newhart
BOG,Cranberry source
BOO,Monsters Inc. kid
BOW,David ___
BOX,Cereal container
BOY,___ George
BRA,Lingerie item
BUD,Light or Abbott
BUM,Lazy person
BUN,Burger bread
BUS,Speed vehicle
BUT,Baby Got ___
BYE,___ ___ Birdie
CAB,Yellow taxi
CAD,Roguish man
CAN,-Can dance
CAP,Marvel's America
CAT,Broadway musical
CAW,Crow's cry
CHI,-Town
COB,Corn part
COG,Gear tooth
CON,___ Air movie
COP,Beverly Hills ___
COT,Folding bed
COW,Farm animal
COY,Bashful
CRY,___ Baby film
CUB,Wrigley Field player
CUE,Pool hall stick
CUP,Dixie product
CUT,Director's shout
DAD,Homer to Bart
DAM,Hoover or beaver
DAN,Rather or Aykroyd
DAY,Doris or Green ___
DEE,Sandra of Gidget
DEN,Home office
DES,Arnaz of comedy
DEW,Mountain ___
DID,___ You Hear?
DIE,___ Hard
DIG,To like slangily
DIM,Not bright
DIN,Loud noise
DIP,Salsa partner
DOC,Bugs Bunny's pal
DOE,Female deer
DOG,Snoop or Pluto
DON,Draper or Knotts
DOT,Polka pattern
DRY,Martini style
DUB,Reggae remix
DUD,Broken firework
DUE,Bill status
DUG,Excavated
DUO,Dynamic ___
DYE,Hair colorist
EAR,Van Gogh's loss
EAT,___ Pray Love
EBB,Tide's retreat
EDD,The Byrnes actor
EGG,The ___ and I
EGO,Star-Lord's dad
EKE,___ out a living
ELF,Will Ferrell movie
ELI,Manning or Roth
ELK,Large animal
ELM,Freddy Krueger's street
ELY,Tarzan actor Ron
EMU,Ostrich cousin
END,___ of the Road
EON,Billion years
ERA,Swift's tour
ERE,Before to poets
ERR,To slip up
ETA,Arrival guess
EVA,Gabor or Longoria
EVE,Wall-E's love
EWE,Woolly animal
EYE,Golden ___
FAD,Pet rock e.g.
FAN,Adoring follower
FAR,___ from Heaven
FAT,___ Albert
FAX,Office machine
FED,The G-man
FEE,Entrance cost
FEW,___ Good Men
FEY,Tina of SNL
FEZ,Doctor Who hat
FIG,Newton cookie
FIN,Shark part
FIT,In good shape
FIX,To repair
FLO,Progressive lady
FLU,Winter illness
FLY,Jeff Goldblum film
FOB,Key attachment
FOE,Batman's rival
FOG,Horror film mist
FOO,___ Fighters
FOP,Dandy man
FOR,___ Your Eyes Only
FOX,Megan or Jamie
FRY,Futurama lead
FUN,___ Home musical
FUR,PETA's enemy
GAD,Josh of Frozen
GAG,Prank or joke
GAL,Gadot of Wonder Woman
GAP,Clothing retailer
GAS,light movie
GAY,The ___ Nineties
GEE, Wiz!
GEL,Hair product
GEM,Ruby or Diamond
GET,___ Out movie
GIG,Musician's job
GIN,___ and tonic
GNU,Wildebeest
GOB,Arrested Development role
GOD,Morgan Freeman role
GOO,Sticky mess
GOT,Winter is coming show
GUM,Chewing brand
GUN,Top ___
GUS,Breaking Bad villain
GUY,Free ___ movie
GYM,Workout spot
HAD,___ Enough?
HAG,Old witch
HAL,2001 computer
HAM,Radio operator
HAN,Solo of Star Wars
HAS,-been
HAT,Cat's accessory
HAY,Barn stuffing
HEE, Haw TV show
HEM,Sewing edge
HEN,Egg producer
HEY,___ Jude
HIC,Drunken sound
HID,Kept secret
HIE,Make haste
HIP,Trendy
HIS,___ Girl Friday
HIT,Top song
HOB,The ___ Hunger Games
HOD,Brick tray
HOE,Garden tool
HOG,Harley bike
HOP,Bunny move
HOT,___ Girl Summer
HOW,___ I Met Your Mother
HUB,Airport center
HUE,Color shade
HUG,Warm embrace
HUM,Mumble-sing
HUN,Attila's tribe
