ABLE,Capable
ACHE,Dull pain
ACID,Corrosive substance
ACME,Highest point
ACNE,Skin condition
ACRE,Unit of land area
AFAR,Far away
AGED,Old
AHOY,Sailor greeting
AIDE,Assistant
AJAR,Slightly open
AKIN,Similar to
ALMS,Charitable gifts
ALOE,Succulent plant
ALSO,In addition
ALTO,Low female voice
AMOK,Out of control
ANEW,Once again
APEX,Highest point
APSE,Church recess
AQUA,Water or blue-green
ARCH,Curved structure
AREA,Region
ARIA,Opera solo
ARID,Very dry
ARMY,Military force
ATOM,Smallest unit of matter
ATOP,On top of
AUNT,Parent's sister
AURA,Distinctive atmosphere
AUTO,Automobile
AVID,Enthusiastic
AVOW,Declare openly
AWAY,At a distance
AWED,Filled with wonder
AWRY,Off course
AXLE,Wheel shaft
BABE,Baby or darling
BACK,Rear part
BAIT,Lure for fishing
BALD,Without hair
BALE,Bundle of hay
BALL,Round object
BAND,Group of musicians
BANE,Cause of misery
BANK,Financial institution
BARE,Uncovered
BARK,Tree covering
BARN,Farm building
BASE,Bottom support
BASH,Party or hit
BASK,Enjoy warmth
BASS,Low musical tone
BATH,Bathtub
BAWL,Cry loudly
BEAD,Small decorative sphere
BEAM,Ray of light
BEAN,Legume
BEAR,Large hibernating mammal
BEAT,Rhythm or strike
BECK,Small stream
BEEF,Cow meat
BEEN,Past of be
BEER,Alcoholic drink
BEET,Red root vegetable
BELL,Ringing device
BELT,Waist strap
BEND,Curve
BEVY,Large group
BIKE,Bicycle
BILE,Digestive fluid
BILL,Invoice or bird's beak
BIRD,Feathered flying animal
BITE,Cut with teeth
BLAH,Dull expression
BLED,Past of bleed
BLEW,Past of blow
BLOB,Round shapeless mass
BLOC,Political group
BLOG,Online journal
BLOT,Ink stain
BLOW,Exhale or wind gust
BLUE,Color of the sky
BLUR,Out of focus
BOAR,Wild pig
BOAT,Small water vessel
BOLD,Brave or dark font
BOLT,Fastener or lightning
BONE,Skeletal structure
BOOK,Bound collection of pages
BOOM,Loud noise or growth
BOON,Benefit or blessing
BOOT,Footwear
BORE,Drill or tedious person
BORN,Came into life
BOSS,Manager
BOTH,The two
BOUT,Period of activity
BRAG,Boast
BRAN,Grain husk
BRAT,Badly behaved child
BRAY,Donkey cry
BRED,Past of breed
BREW,Make beer or tea
BRIM,Edge of a hat
BROW,Forehead
BUCK,Dollar or male deer
BUFF,Polish or enthusiast
BULK,Large mass
BULL,Male cow
BUMP,Collision or lump
BUNK,Bed on a frame
BUOY,Floating marker
BURN,Combust
BURP,Belch
BUSH,Shrub
BUST,Sculpture of a head
BUSY,Actively engaged
BYTE,Unit of digital data
CAFE,Small restaurant
CAGE,Enclosure for animals
CAKE,Birthday dessert
CALF,Young cow
CALM,Peaceful
CAMP,Temporary outdoor dwelling
CANE,Walking stick
CAPE,Cloak or headland
CARD,Thick paper piece
CARE,Look after
CARP,Freshwater fish
CART,Wheeled vehicle
CASE,Container or legal matter
CASH,Physical currency
CAST,Throw or actors in a show
CAVE,Underground hollow
CEDE,Surrender
CELL,Smallest living unit
CENT,One hundredth of a dollar
CHAP,Fellow
CHAR,Burn slightly
CHAT,Casual conversation
CHEF,Professional cook
CHEW,Bite repeatedly
CHIC,Stylishly elegant
CHIN,Lower part of the face
CHIP,Small piece or snack
CHOP,Cut with a heavy blow
CHUM,Close friend
CITE,Quote as evidence
CLAM,Bivalve shellfish
CLAN,Family group
CLAP,Strike hands together
CLAY,Earthy material
CLEF,Musical symbol
CLIP,Fasten or cut
CLOG,Block or wooden shoe
CLOT,Solidified blood
CLUB,Organization or heavy stick
CLUE,Hint
COAL,Black fossil fuel
COAT,Outer garment
COIL,Spiral loop
COIN,Metal currency
COLA,Fizzy drink
COLD,Low temperature
COLT,Young male horse
COMA,Unconscious state
COMB,Hair-styling tool
COME,Move toward
CONE,Tapering shape
COOK,Prepare food
COOL,Slightly cold or fashionable
COPE,Deal with difficulty
CORD,Thick string
CORE,Central part
CORK,Bottle stopper
CORN,Yellow grain
COST,Price
COUP,Sudden takeover
COVE,Small bay
COZY,Comfortable
CRAB,Crustacean with claws
CRAG,Steep rugged rock
CRAM,Fill to capacity
CREW,Team on a vessel
CRIB,Baby's bed
CROP,Harvested plant
CROW,Black bird
CRUX,Essential point
CUBE,Three-dimensional square shape
CUFF,Sleeve end
CURB,Restrain
CURE,Medical remedy
CURL,Curved shape
