ABBEY,Monastery
ABBOT,Head of a monastery
ABIDE,Tolerate or reside
ABORT,Cancel
ABOUT,Concerning
ABOVE,Higher than
ABUSE,Mistreat
ABYSS,Deep chasm
ACORN,Oak tree seed
ACTED,Performed
ACTOR,Performer
ACUTE,Sharp or severe
ADAGE,Proverb
ADAPT,Adjust to new conditions
ADEPT,Very skilled
ADMIT,Acknowledge
ADOBE,Sun-dried brick
ADOPT,Take as one's own
ADORE,Love deeply
ADORN,Decorate
ADULT,Fully grown person
AFIRE,On fire
AFOOT,In progress
AFTER,Following in time
AGAIN,Once more
AGATE,Striped gemstone
AGENT,Person acting on behalf of another
AGILE,Nimble and quick
AGING,Growing older
AGONY,Extreme pain
AGREE,Be of the same opinion
AHEAD,In front
AISLE,Passage between rows
ALARM,Warning signal
ALBUM,Collection of music or photos
ALERT,Watchful
ALGAE,Aquatic plants
ALIEN,Extraterrestrial or foreign
ALIGN,Arrange in a line
ALIKE,Similar
ALIVE,Living
ALLEY,Narrow passage
ALLOT,Assign a share
ALLOW,Permit
ALLOY,Metal mixture
ALOFT,High up
ALONE,Without others
ALONG,By the side of
ALOOF,Distant and reserved
ALOUD,In a loud voice
ALPHA,First Greek letter
ALTAR,Religious table
ALTER,Change
AMASS,Gather together
AMAZE,Greatly surprise
AMBER,Yellowish-orange color
AMBLE,Walk at a leisurely pace
AMEND,Correct or revise
AMISS,Wrong
AMONG,In the middle of
AMPLE,More than enough
AMUSE,Entertain
ANGEL,Heavenly being
ANGER,Strong displeasure
ANGLE,Corner between two lines
ANGRY,Feeling strong displeasure
ANKLE,Foot joint
ANNEX,Add or an extension
ANNOY,Irritate
ANVIL,Blacksmith's block
AORTA,Main heart artery
APART,Separated
APHID,Plant-eating insect
APPLE,Common red or green fruit
APPLY,Submit or put to use
APRIL,Fourth month
APRON,Protective garment
APTLY,Suitably
AREAS,Regions
ARENA,Performance or sports venue
ARGUE,Dispute
ARISE,Come into existence
ARMOR,Protective covering
AROMA,Pleasant smell
AROSE,Past of arise
ARRAY,Ordered arrangement
ARROW,Pointed projectile
ARSON,Deliberate fire-starting
ASHEN,Pale as ash
ASIDE,To one side
ASKEW,Crooked
ASSET,Valuable resource
ATLAS,Book of maps
ATOLL,Ring-shaped coral island
ATONE,Make amends
ATTIC,Space below the roof
AUDIO,Sound reproduction
AUDIT,Financial check
AVAIL,Be of use
AVERT,Prevent or turn away
AVIAN,Relating to birds
AVOID,Keep away from
AWAKE,Not asleep
AWARD,Prize
AWARE,Having knowledge
AWASH,Covered with water
AWFUL,Very bad
AWOKE,Past tense of awake
AXIOM,Self-evident truth
AZURE,Sky blue
BADGE,Identification emblem
BADLY,In an unsatisfactory way
BAGEL,Ring-shaped bread
BAKED,Cooked in oven
BAKER,Person who bakes bread
BANAL,Unoriginal
BANJO,Stringed instrument
BARGE,Flat-bottomed boat
BARON,Nobleman
BASIC,Fundamental
BASIL,Herb
BASIN,Bowl-shaped container
BASIS,Foundation
BATCH,Group produced together
BATHE,Wash oneself
BEACH,Sandy shore
BEADY,Small and round
BEARD,Facial hair
BEAST,Wild animal
BEECH,Hardwood tree
BEGAN,Past tense of begin
BEGIN,Start
BEIGE,Pale sandy color
BELLY,Abdomen
BELOW,Under
BENCH,Long seat
BERRY,Small fruit
BERTH,Sleeping space on a ship
BIBLE,Christian scripture
BILLY,Goat or informal name
BINGO,Numbers game
BIRCH,Slender tree
BIRTH,Beginning of life
BISON,Large bovine animal
BLACK,Darkest color
BLADE,Cutting edge
BLAME,Hold responsible
BLAND,Without strong features
BLANK,Empty space
BLAST,Explosion
BLAZE,Large fire
BLEAK,Cold and miserable
BLEAT,Sheep cry
BLEED,Lose blood
BLEND,Mix together
BLESS,Consecrate
BLIND,Unable to see
BLINK,Close and open eyes quickly
BLISS,Perfect happiness
BLOAT,Swell with gas
BLOCK,Solid piece
BLOND,Light hair color
BLOOD,Red fluid in the body
BLOOM,Flower
BLUFF,Deceive or steep cliff
BLUNT,Not sharp
BLUSH,Red face
BOARD,Flat piece of wood
BOAST,Brag
BOBBY,British policeman
BOGUS,Fake
BONGO,Small hand drum
BOOST,Increase
BOOTH,Small enclosed space
BOOTY,Plunder
BOOZE,Alcohol
BORED,Uninterested
BOSOM,Chest area
BOSSY,Overbearing
BOUGH,Tree branch
BOUND,Tied or leap
BOWED,Bent forward
BOWEL,Intestine
BOWER,Shady leafy shelter
BOXER,Fighter
BRAID,Woven strands
BRAIN,Organ of thought
BRAKE,Stopping device
BRAND,Trademark
BRASH,Rudely confident
BRASS,Yellow metal alloy
BRAVE,Courageous
BRAWL,Noisy fight
BRAWN,Physical strength
BREAD,Baked staple food
BREAK,Shatter
BREED,Variety of animal
BRIBE,Corrupt payment
BRICK,Building block
BRIDE,Woman on wedding day
BRIEF,Short
BRINE,Salt water
BRING,Take along
BRINK,Edge
BRINY,Salty
BRISK,Active and energetic
BROIL,Cook by direct heat
BROKE,Past of break
BROOD,Think deeply
BROOK,Small stream
BROOM,Sweeping tool
BROTH,Thin soup
BROWN,Earth-toned color
BRUSH,Apply with bristles
BRUTE,Savage person
BUDDY,Friend
BUDGE,Move slightly
BUGGY,Baby carriage
BUILD,Construct
BULGE,Swell outward
BULKY,Large and heavy
BULLY,Intimidate
BUNCH,Group
BURLY,Strongly built
BURNT,Past tense of burn
BURST,Break open suddenly
BUTTE,Flat-topped hill
BUYER,One who purchases
CABIN,Small wooden house
CABLE,Strong wire or rope
CACHE,Hidden store
CADET,Young trainee
CAMEL,Desert mammal with humps
CAMEO,Small acting role
CAMPY,Exaggerated theatrical
CANAL,Man-made waterway
CANDY,Sweet confection
CANOE,Narrow light boat
CAPER,Playful action
CARAT,Gemstone weight unit
CARGO,Goods carried by ship
CAROL,Christmas song
CARRY,Transport
CARVE,Cut into a shape
CATCH,Seize
CAUSE,Reason
CEASE,Stop
CEDAR,Aromatic evergreen tree
CELLO,Large string instrument
CHAFE,Rub and irritate
CHAIN,Series of linked rings
CHAIR,Seat with a back
CHALK,Soft white writing material
CHAMP,Champion
CHANT,Rhythmic singing
CHAOS,Complete disorder
CHARM,Attractiveness
CHART,Diagram
CHASE,Pursue
CHASM,Deep crack in the earth
CHEAP,Low in price
CHEAT,Act dishonestly
CHECK,Verify
CHEEK,Side of the face
CHEER,Shout of encouragement
CHESS,Strategic board game
CHEST,Upper torso
CHICK,Baby bird
CHIEF,Leader
CHILD,Young person
CHILI,Spicy pepper
CHILL,Cold feeling
CHIME,Bell sound
CHIMP,Chimpanzee
CHINA,Fine porcelain
CHIRP,Bird sound
CHOIR,Singing group
CHOKE,Block breathing
CHOMP,Chew noisily
CHOPS,Meat cuts
CHORD,Musical notes played together
CHORE,Household task
CHOSE,Past of choose
CHUCK,Throw or toss
CHUNK,Thick piece
CHURN,Agitate
CIGAR,Rolled tobacco
CIVIC,Relating to a city
CIVIL,Polite or not military
CLAIM,Assert or demand
CLAMP,Fastening device
CLANG,Loud ringing sound
CLASH,Conflict
CLASP,Fasten
CLASS,Group or category
CLEAN,Free from dirt
CLEAR,Transparent
CLERK,Office worker
CLICK,Short sharp sound
CLIFF,Steep rock face
CLIMB,Ascend
CLING,Hold on tightly
CLOAK,Long loose garment
CLOCK,Time-measuring device
CLOMP,Walk heavily
CLONE,Exact genetic copy
CLOSE,Shut or near
CLOTH,Fabric
CLOUD,Mass of water vapor
CLOVE,Spice bud
CLOWN,Comic entertainer
CLUCK,Chicken sound
CLUMP,Cluster
CLUNG,Past of cling
COACH,Train
COAST,Land near the sea
COBRA,Venomous snake
COCOA,Chocolate powder
COLON,Punctuation mark
COLOR,Visual property
COMET,Space rock with tail
COMIC,Funny
COMMA,Punctuation mark
CONCH,Spiral seashell
CORAL,Sea organism forming reefs
CORER,Apple tool
CORGI,Short-legged dog breed
COUCH,Sofa
COUGH,Expel air from lungs
COULD,Past of can
COUNT,Enumerate
COURT,Legal tribunal
COVEN,Group of witches
COVER,Place over
COVET,Crave someone's possession
COWED,Intimidated
CRACK,Break with a sharp sound
CRAFT,Skill
CRAMP,Painful muscle contraction
CRANE,Large bird or construction machine
CRANK,Grouchy person
CRASH,Violent collision
CRAVE,Desire intensely
CRAZE,Enthusiasm
CRAZY,Wild or insane
CREAK,Squeaky sound
CREAM,Milk fat
CREED,Set of beliefs
CREEK,Small stream
CREEP,Move slowly
CRESS,Salad leaf
CREST,Top of a hill
CREWS,Boat teams
CRIED,Wept
CRIME,Illegal act
CRIMP,Bend into folds
CRISP,Firm and dry
CROAK,Frog sound
CRONY,Close associate
CROOK,Bend or criminal
CROON,Sing softly
CROSS,Mark
CROUP,Child's cough
CROWD,Large group of people
CROWN,Royal headpiece
CRUDE,Rough or oil
CRUEL,Causing pain
CRUMB,Small bread piece
CRUSH,Press together
CRUST,Outer layer
CURLY,Having curls
CURRY,Spicy dish
CURSE,Offensive words
CURVE,Bent line
CYCLE,Repeated sequence
DAILY,Every day
DAIRY,Milk products
DAISY,White and yellow flower
DANCE,Rhythmic movement
DANDY,Fashionably dressed man
DATED,Old-fashioned
DEALT,Past of deal
DEATH,End of life
DEBIT,Deduction from account
DEBUT,First public appearance
DECAY,Decompose
DECOY,Lure
DEFER,Postpone
DEITY,Divine being
DELAY,Postpone
DELTA,Greek letter or river mouth
