AAL,Schlangenfoermiger Fisch
AAR,Adler altertuemlich
AAS,Verwesendes Tier
ABC,Alphabet
ABO,Zeitungsbestellung auf Zeit
ABT,Leiter eines Klosters
ACH,Interjektion des Erstaunens
ADE,Abschiedsgruss
AHA,Ausruf des Verstehens
AHO,Indianischer Kriegsruf
AIR,Luft englisch
AKT,Teil eines Theaterstuecks
ALE,Englisches Bier
ALK,Nordischer Seevogel
ALL,Weltraum
ALM,Hochweide in den Bergen
ALP,Bergweide
ALS,Vergleichswort
ALT,Nicht jung
AMT,Behoerde der Verwaltung
ANS,An das zusammengezogen
APP,Anwendung auf dem Handy
ARA,Bunter Papagei
ARD,Oeffentlicher Sender
ARG,Schlimm
ARM,Glied am Koerper
ART,Weise oder Gattung
ASE,Germanische Gottheit
ASS,Spitzenspieler im Sport
AUA,Schmerzlaut
AUE,Wiese am Fluss
AUF,Oben auf etwas
AUS,Heraus
AVE,Gegruesst seiest du
BAD,Raum mit Wanne
BAH,Ausruf des Abscheus
BAI,Kleine Bucht
BAR,Theke mit Getraenken
BAT,Vergangenheit von bitten
BAU,Errichtung
BEA,Weiblicher Vorname kurz
BEB,Anfang eines Erdstosses
BEI,Neben oder an
BEN,Maennlicher Vorname kurz
BIM,Klang einer kleinen Glocke
BIN,Erste Person von sein
BIO,Aus oekologischer Landwirtschaft
BIS,Zeitlich begrenzend
BIT,Kleinste Dateneinheit
BMW,Bayerischer Autohersteller
BOA,Wuergeschlange
BOB,Schlitten mit Kufen
BOE,Kurzer heftiger Wind
BON,Gutschein
BOT,Automatisierter Helfer
BOX,Schachtel oder Kasten
BRD,Bundesrepublik Abkuerzung
BRR,Kaelteschauer
BUG,Fehler im Programm
BUH,Missfallensruf
BUS,Oeffentliches Fahrzeug
CEO,Firmenchef englisch
CHA,Lateinamerikanischer Tanz
CHI,Griechischer Buchstabe
CIA,US Geheimdienst
CNN,Amerikanischer Sender
COL,Bergpass
COR,Herz lateinisch
CUP,Pokalwettbewerb
DAS,Saechlicher Artikel
DDR,Ostdeutschland Abkuerzung
DEM,Dativ maennlich
DEN,Akkusativ maennlich
DEO,Koerperpflegemittel
DER,Maennlicher Artikel
DES,Genitiv maennlich
DFB,Deutscher Fussballverband
DIA,Projektionsbild
DIE,Weiblicher Artikel
DIM,Dunkel englisch
DIN,Deutsche Industrienorm
