ACA,Adverbio de lugar cercano
AHI,Adverbio de lugar
AJO,Bulbo blanco de sabor fuerte
ALA,Extremidad del ave para volar
AMA,Duena de la casa
AMO,Forma verbal de amar
ANA,Nombre propio femenino
ARA,Altar para sacrificios
ARE,Forma verbal de arar
ARO,Anillo o circulo pequeno
ASA,Parte saliente para agarrar
ASI,De esta manera
ATA,Forma verbal de atar
ATE,Forma verbal de atar
ATO,Forma verbal de atar
AUN,Todavia hasta este momento
AVE,Animal con alas y plumas
AYA,Nina que cuida a otros ninos
BAH,Interjeccion de desprecio
BAR,Local publico para bebidas
BEL,Unidad de medida sonora
BEY,Titulo de origen turco
BIT,Unidad minima de informacion
BOA,Serpiente grande no venenosa
BOL,Recipiente hondo redondo
BUS,Vehiculo de transporte colectivo
CAE,Forma verbal de caer
CAI,Forma verbal de caer
CAL,Polvo blanco para construccion
CAN,Nombre literario del perro
CAP,Gorra en otro idioma
CAY,Isla pequena de arena
CID,Heroe medieval espanol
CON,Preposicion de compania
COR,Prefijo del corazon
COY,Cama colgante en los barcos
COZ,Golpe que da un caballo
CUI,Roedor sudamericano comestible
DAD,Forma verbal de dar
DAN,Forma verbal de dar
DAR,Entregar algo a alguien
DAS,Forma verbal de dar
DEL,Contraccion de preposicion
DEN,Forma verbal de dar
DIA,Tiempo entre dos amaneceres
DIN,Sonido de campana
DIO,Forma verbal de dar
DOM,Titulo de respeto religioso
DON,Tratamiento de respeto
DOS,Numero natural despues del uno
DOY,Forma verbal de dar
DUO,Conjunto de dos personas
ECO,Repeticion del sonido
EDO,Nombre propio masculino
EFE,Nombre de la letra F
EGO,Uno mismo en latin
EJE,Barra que atraviesa un cuerpo
ELE,Nombre de la letra L
EME,Nombre de la letra M
ENE,Nombre de la letra N
EON,Periodo de tiempo muy largo
EPA,Interjeccion de sorpresa
ERA,Periodo historico largo
ERE,Nombre de la letra R
ERG,Unidad de energia
ESA,Adjetivo demostrativo femenino
ESE,Adjetivo demostrativo masculino
ESO,Pronombre demostrativo neutro
FAN,Seguidor entusiasta
FAR,Prefijo que indica lejos
FAZ,Parte frontal del rostro
FEA,Que no es bonita
FEO,Que no es bonito
FEZ,Gorro tradicional turco
FIN,Termino o conclusion
FUE,Forma verbal de ser en pasado
FUI,Forma verbal de ser en pasado
GAS,Estado gaseoso de la materia
GEL,Sustancia viscosa y transparente
GEN,Unidad basica de herencia
GOL,Tanto marcado en futbol
HAN,Forma verbal de haber
HAS,Forma verbal de haber
HAY,Verbo que indica existencia
HAZ,Forma verbal de hacer
HER,Prefijo de hermano
HIN,Sonido onomatopeyico
HOY,En este mismo dia
HOZ,Herramienta curva para segar
HUY,Interjeccion de sorpresa
IBA,Forma verbal de ir imperfecto
IDA,Viaje hacia un lugar
IDO,Participio del verbo ir
ION,Atomo con carga electrica
IRA,Enfado intenso
ISA,Cancion popular canaria
JAI,Mujer joven en gitano
JET,Chorro o avion rapido
LAR,Hogar de la familia
LAS,Articulo femenino plural
LEA,Forma verbal de leer
LEE,Forma verbal de leer
LEO,Forma verbal de leer
LES,Pronombre de tercera persona
